FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
1712;FGS_001_2_FLD1712;H-2001-Ready to Reset;;;ЛОЖЬ;;Program block;FGS_001_2;;;19.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1220;FGS_001_2_FLD1220;CH-20-3 DV 20XV563-Sh2;;;ЛОЖЬ;;Program block;FGS_001_2;;;12.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2333;FGS_001_2_FLD2333;SC MOS H-2006;;;ЛОЖЬ;;Function block;FGS_001_2;;;22.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1;FGS_001_2_FLD0001;Cover Page;;;ЛОЖЬ;;Comment block;;;;17.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2461;FGS_001_2_FLD2461;MOV Control;;;ЛОЖЬ;;Function block;FGS_001_2;;;17.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
201;FGS_001_2_FLD0201;2000#2 ACK, TEST and RESET-Sh2;;;ЛОЖЬ;;Program block;FGS_001_2;;;06.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1212;FGS_001_2_FLD1212;CH-20-3 Fire detector 20YT413;;;ЛОЖЬ;;Program block;FGS_001_2;;;08.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
803;FGS_001_2_FLD0803;2000#4 FDs voting-Sh3;;;ЛОЖЬ;;Program block;FGS_001_2;;;30.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
670;FGS_001_2_FLD0670;2000#3 Common Alarm FD-Sh6;;;ЛОЖЬ;;Program block;FGS_001_2;;;14.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1120;FGS_001_2_FLD1120;CH-20-2 Fire detector 20YT017;;;ЛОЖЬ;;Program block;FGS_001_2;;;08.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
448;FGS_001_2_FLD0448;2000#3 Fire detector 20YT216;;;ЛОЖЬ;;Program block;FGS_001_2;;;03.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
