PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8
T;713_1;;;6000;;;;ЛОЖЬ;ЛОЖЬ;;713;;;;;;;;1 s;0;;488;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed ON with variable timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1107_1_N;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1107;;;;;;;0;;;;6938;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;C729_1_J;;;6000;6000;Function block register;;ЛОЖЬ;ЛОЖЬ;;729;;Float;;;;;0;;;;2398;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;913_1;;;6000;;;;ЛОЖЬ;ЛОЖЬ;;913;;;;;;;;1 s;0;;768;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed ON with variable timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;60PI321_TF;;COM;6000;A_6000;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;422;;;;;;;0;;;;985;ИСТИНА;28008;None;;;;;;0=FAIL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_551_1;806
R;C1095_1_I;;;;;Function block register;;ЛОЖЬ;ЛОЖЬ;;1095;;Float;;;;;0;;;;7102;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1480_1_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1480;;;;;;;0;;;;1849;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;60XY508;;MCC;6000;A_P6000;EMERGENCY SD P6007;Yes;ИСТИНА;ЛОЖЬ;;344;;;;;;;0;;;;268;ИСТИНА;28009;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;15.10;5;5;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_551_1;1313
T;420_2;;;6000;;;;ЛОЖЬ;ЛОЖЬ;;420;;;;;;;;100 ms;10;;424;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C556_3_E;;;6000;6000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;556;;;;;;;0;;;;9148;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;60XZSO012;;FLD;6000;A_6000;GG (H2) TO ATMOSPHERE (CTRL);Yes;ИСТИНА;ЛОЖЬ;;1312;;;;;;;;;;;159;ЛОЖЬ;29432;None;;;;;;0=OPEN;;;;;;;Undefined;;;;15.04;3;8;1;Low;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_551_1;1503
M;C1111_1_K;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1111;;;;;;;0;;;;6934;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;613_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;613;;;;;;;;1 s;0;;284;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed ON with variable timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C430_4_D;;;6000;6000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;430;;;;;;;0;;;;9287;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C871_1_N;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;871;;;;;;;0;;;;4774;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C2470_4;;;;;Compiler marker (176, 246);;ЛОЖЬ;ЛОЖЬ;;2470;;;;;;;0;;;;241;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;60PI374;;FLD;6000;;FG THE M-BURN NO3 H6052;Yes;ИСТИНА;ЛОЖЬ;;430;ИСТИНА;Float;4-20mA;0;250;kPag;;;;;820;ЛОЖЬ;28957;;None;None;None;None;;;;;;;;;-XXXXX.X;3.64;22;;15.10;15;2;1;Top scale;;;;ЛОЖЬ;ИСТИНА;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_551_1;10406
DI;60HS415_RST;;COM;;;;No;ЛОЖЬ;ИСТИНА;;797;;;;;;;0;;;;3912;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;;;;;;;;Low;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;EPKS_UCB;ESD_551_1;175
