PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6
DO;58HS080F_C;;COM;;;MOS 58HS080F;No;ЛОЖЬ;ЛОЖЬ;;184;;;;;;;0;;;;7944;ИСТИНА;54353;None;;;;;;1=MOS;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;Output;EPKS_CCB;FGS_411_1;610;;;;;;;;;;;;;;;;
M;C1622_3_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1622;;;;;;;0;;;;5374;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2357_A;;;;;1=MO REQUEST;;ЛОЖЬ;ЛОЖЬ;;2357;;;;;;;0;;;;4086;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41HS403E_RR;;COM;;;READY TO RESET IB-41-1-FLAMMABLE GAS;No;ЛОЖЬ;ЛОЖЬ;;972;;;;;;;0;;;;1636;ИСТИНА;55067;None;;;;;;1=READY;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;Output;EPKS_CCB;FGS_411_1;1878;;;;;;;;;;;;;;;;
M;C188_3_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;188;;;;;;;0;;;;6817;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;2010_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;2010;;;;;;;;100 ms;10;;1672;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed ON with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1212_1216_4;;;;;58GT019_BadPV_FL;;ЛОЖЬ;ЛОЖЬ;;1216;;;;;;;0;;;;2550;ЛОЖЬ;0;;;;;;;0=BadPV;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;196_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;196;;;;;;;0;;;;1016;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2480_7;;;;;;;ЛОЖЬ;ЛОЖЬ;;2480;;;;;;;0;;;;2301;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1724_1_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1724;;;;;;;0;;;;5286;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
