PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4
DO;10GT505_MOC;;COM;;;MO CONFIRM;No;ЛОЖЬ;ЛОЖЬ;;320;;;;;;;0;;;;722;ИСТИНА;52231;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_101_1;681
M;C310_3_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;310;;;;;;;0;;;;3196;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;10GT517_B0;;COM;;;Bit 0;No;ЛОЖЬ;ЛОЖЬ;;344;;;;;;;0;;;;854;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_101_1;813
M;C342_2_H;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;342;;;;;;;0;;;;3041;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;10XV038PV_B1;;COM;;;Bit 1;No;ЛОЖЬ;ЛОЖЬ;;726;;;;;;;0;;;;645;ИСТИНА;52395;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_101_1;1037
M;152_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;152;;;;;;;0;;;;3559;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DI;10GT516_MOR;;COM;;;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;342;;;;;;;0;;;;145;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;Input;EPKS_CCB;FGS_101_1;34
M;316_416_3;;;;;10GA503_FL;;ЛОЖЬ;ЛОЖЬ;;416;;;;;;;0;;;;1809;ЛОЖЬ;0;;;;;;;0=ACTIVATED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;10HS375_RR;;COM;;;READY TO RESET 1000-06-FIRE;No;ЛОЖЬ;ЛОЖЬ;;244;;;;;;;0;;;;2605;ИСТИНА;52109;None;;;;;;1=READY;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_101_1;428
M;154_248_2;;;;;10YT006_RR;;ЛОЖЬ;ЛОЖЬ;;248;;;;;;;0;;;;2190;ЛОЖЬ;0;;;;;;;1=READY;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;
M;322_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;322;;;;;;;0;;;;1424;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;158_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;158;;;;;;;0;;;;1213;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;412_9;;;;;;;ЛОЖЬ;ЛОЖЬ;;412;;;;;;;0;;;;1795;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
