ID;PROP_ID;COMP_ID;LiquidViscosityA;LiquidViscosityB;LiquidViscosityC;LiquidViscosityD;LiquidViscosityTmin;LiquidViscosityTmax
20643;16740;20646;-12321;-12321;-12321;-12321;-12321;-12321
20644;16768;20647;-12321;-12321;-12321;-12321;-12321;-12321
20645;17252;20648;-12321;-12321;-12321;-12321;-12321;-12321
20646;12554;20649;-12321;-12321;-12321;-12321;-12321;-12321
20647;5942;20650;-12321;-12321;-12321;-12321;-12321;-12321
20648;13888;20651;-12321;-12321;-12321;-12321;-12321;-12321
20649;14120;20652;-12321;-12321;-12321;-12321;-12321;-12321
20650;17245;20653;-12321;-12321;-12321;-12321;-12321;-12321
20651;10839;20654;-12321;-12321;-12321;-12321;-12321;-12321
20652;11297;20655;-12321;-12321;-12321;-12321;-12321;-12321
20653;11296;20656;-12321;-12321;-12321;-12321;-12321;-12321
20654;12553;20657;-12321;-12321;-12321;-12321;-12321;-12321
20655;12552;20658;-12321;-12321;-12321;-12321;-12321;-12321
20656;12555;20659;-12321;-12321;-12321;-12321;-12321;-12321
20657;15129;20660;-12321;-12321;-12321;-12321;-12321;-12321
20658;15454;20661;-12321;-12321;-12321;-12321;-12321;-12321
20659;11732;20662;-12321;-12321;-12321;-12321;-12321;-12321
20660;17360;20663;-12321;-12321;-12321;-12321;-12321;-12321
20661;12023;20664;-12321;-12321;-12321;-12321;-12321;-12321
20662;17943;20665;-12321;-12321;-12321;-12321;-12321;-12321
20663;17231;20666;-12321;-12321;-12321;-12321;-12321;-12321
20664;16413;20667;-12321;-12321;-12321;-12321;-12321;-12321
20665;17327;20668;-12321;-12321;-12321;-12321;-12321;-12321
20666;17232;20669;-12321;-12321;-12321;-12321;-12321;-12321
20667;12273;20670;-12321;-12321;-12321;-12321;-12321;-12321
20668;17052;20671;-12321;-12321;-12321;-12321;-12321;-12321
20669;16727;20672;-12321;-12321;-12321;-12321;-12321;-12321
20670;17239;20673;-12321;-12321;-12321;-12321;-12321;-12321
20671;2651;20674;-25.166565;3040.5637;3.5774998E-2;-2.9999999E-5;293;638
20672;5502;20675;-12321;-12321;-12321;-12321;-12321;-12321
20673;1961;20676;-20.533072;2446.9573;0.025549;-0.000021;293;677
20674;18487;20677;-12321;-12321;-12321;-12321;-12321;-12321
20675;13212;20678;-12321;-12321;-12321;-12321;-12321;-12321
20676;17344;20679;-12321;-12321;-12321;-12321;-12321;-12321
20677;10037;20680;-12321;-12321;-12321;-12321;-12321;-12321
20678;17343;20681;-12321;-12321;-12321;-12321;-12321;-12321
20679;7725;20682;-12321;-12321;-12321;-12321;-12321;-12321
20680;10162;20683;-12321;-12321;-12321;-12321;-12321;-12321
20681;13890;20684;-12321;-12321;-12321;-12321;-12321;-12321
20682;11496;20685;-12321;-12321;-12321;-12321;-12321;-12321
20683;7978;20686;-12321;-12321;-12321;-12321;-12321;-12321
20684;10786;20687;-12321;-12321;-12321;-12321;-12321;-12321
20685;10559;20688;-12321;-12321;-12321;-12321;-12321;-12321
20686;17282;20689;-12321;-12321;-12321;-12321;-12321;-12321
20687;17410;20690;-12321;-12321;-12321;-12321;-12321;-12321
20688;14216;20691;-12321;-12321;-12321;-12321;-12321;-12321
20689;16734;20692;-12321;-12321;-12321;-12321;-12321;-12321
20690;16968;20693;-12321;-12321;-12321;-12321;-12321;-12321
20691;13342;20694;-12321;-12321;-12321;-12321;-12321;-12321
20692;10058;20695;-12321;-12321;-12321;-12321;-12321;-12321
