ID;PROP_ID;COMP_ID;SurfaceTensionA;SurfaceTensionB;SurfaceTensionN;SurfaceTensionTmin;SurfaceTensionTmax
36249;8487;36252;-12321;-12321;-12321;-12321;-12321
36250;19281;36253;-12321;-12321;-12321;-12321;-12321
36251;13220;36254;-12321;-12321;-12321;-12321;-12321
36252;13353;36255;-12321;-12321;-12321;-12321;-12321
36253;14801;36256;-12321;-12321;-12321;-12321;-12321
36254;14805;36257;-12321;-12321;-12321;-12321;-12321
36255;14800;36258;-12321;-12321;-12321;-12321;-12321
36256;8592;36259;-12321;-12321;-12321;-12321;-12321
36257;14849;36260;-12321;-12321;-12321;-12321;-12321
36258;11295;36261;-12321;-12321;-12321;-12321;-12321
36259;14783;36262;-12321;-12321;-12321;-12321;-12321
36260;14786;36263;-12321;-12321;-12321;-12321;-12321
36261;14785;36264;-12321;-12321;-12321;-12321;-12321
36262;14847;36265;-12321;-12321;-12321;-12321;-12321
36263;9717;36266;-12321;-12321;-12321;-12321;-12321
36264;9542;36267;-12321;-12321;-12321;-12321;-12321
36265;11434;36268;-12321;-12321;-12321;-12321;-12321
36266;11239;36269;-12321;-12321;-12321;-12321;-12321
