ID;PROP_ID;COMP_ID;Antoine5LogA;Antoine5LogB;Antoine5LogC;Antoine5LogD;Antoine5LogE;Antoine5LogTmin;Antoine5LogTmax
35539;649;35542;64.805801;-2805.1001;-24.268;2.5513001E-2;-0.000011;174.07001;450.39999
35540;119;35543;126.24281;-5728.8999;-47.300999;3.7923999E-2;-0.000012;287.04999;540
35541;4648;35544;184.40401;-13126;-63.708;2.9000999E-2;-4.9999999E-6;496.14999;996
35542;5275;35545;71.706001;-3712.6001;-26.507;2.6806001E-2;-0.000011;245.45;373.14999
35543;4831;35546;507.37302;-28471;-182.50999;8.9666001E-2;-1.8000001E-5;523.09003;806.5
35544;4832;35547;7.8693032;-4639;0;0;0;679.35999;841.15002
35545;4936;35548;801.48889;-42836;-289.73001;0.1408;-0.000027;525.21997;845.15002
35546;4939;35549;787.89453;-42319;-284.56;0.1376;-0.000026;524.84998;850.15002
35547;4918;35550;147.4911;-9837.2002;-51.285999;0.023037;-0.000004;564.69;843.15002
35548;5292;35551;148.40941;-17175;-49.493999;1.8084001E-2;-3.0000001E-6;636;1745
35549;5293;35552;64.904404;-9315.4004;-19.913;0.006637;-0.000001;763.15002;1092.15
35550;5294;35553;106.5967;-12047;-34.449001;0.012081;-0.000002;713.15002;1096.15
35551;351;35554;58.632805;-3387.8;-20.51;0.016034;-4.9999999E-6;268.14999;603
35552;2478;35555;82.302803;-5542.1001;-28.308001;0.016014;-0.000004;434.53;771.03003
35553;3127;35556;85.499306;-5943.6001;-29.283001;1.5822001E-2;-0.000004;459.07999;796.44
35554;4408;35557;96.071404;-7312.7002;-32.512001;0.015434;-3.0000001E-6;538.09998;865.90002
35555;4480;35558;97.188904;-7464.3999;-32.849998;0.015399;-3.0000001E-6;546.59998;872.75
35556;4173;35559;92.4991;-6843.6001;-31.42;0.015531;-3.0000001E-6;511.72;844.71997
35557;1300;35560;-47.263496;283.54001;19.615999;-8.2590003E-3;0.000002;351.14999;640.07001
35558;4097;35561;91.224007;-6679.2998;-31.028999;0.015567;-3.0000001E-6;502.37;836.95001
35559;953;35562;71.027;-4166.6001;-24.996;1.7704999E-2;-4.9999999E-6;302.14999;657.12
35560;4331;35563;94.9254;-7160.7002;-32.161999;0.015465;-3.0000001E-6;529.59003;859.17999
35561;2151;35564;80.333702;-5287.1001;-27.719;1.6202999E-2;-0.000004;418.45999;751.38
35562;4247;35565;93.754501;-7008.6001;-31.802999;0.015491;-3.0000001E-6;521.08002;852.59003
35563;1778;35566;78.079407;-4996.6001;-27.049;0.016461;-0.000004;399.84;726.84003
35564;3994;35567;89.8666;-6502.8999;-30.615;0.015619;-3.0000001E-6;492.17001;827.84003
35565;231;35568;52.378803;-2874.8999;-18.367001;1.5876999E-2;-6.0000002E-6;238.14999;555
35566;3850;35569;88.4935;-6327.7998;-30.194;1.5668999E-2;-3.0000001E-6;481.98001;818.78998
35567;3388;35570;87.038506;-6141.2998;-29.75;1.5736001E-2;-3.0000001E-6;470.94;808.34003
35568;2803;35571;83.945107;-5748.1001;-28.808001;1.5907001E-2;-0.000004;447.22;784.51001
