ID;PROP_ID;COMP_ID;Poly5IdealGasCpA;Poly5IdealGasCpB;Poly5IdealGasCpC;Poly5IdealGasCpD;Poly5IdealGasCpE;Poly5IdealGasCpTmin;Poly5IdealGasCpTmax
20882;14677;20884;-34.406109;1.1191469;-6.2599999E-4;0;0;200;980
20883;17336;20885;-38.392387;1.598193;-8.9999998E-4;0;0;200;980
20884;10456;20886;-43.97213;2.2688489;-0.001284;0;0;200;980
20885;15810;20887;-13.941168;1.099542;-4.5699999E-4;0;0;200;980
20886;16732;20888;-36.744774;1.367507;-0.000619;0;0;200;980
20887;10267;20889;-1.6033421;0.68684101;-0.000164;0;0;200;980
20888;11990;20890;-1.6033421;0.68684101;-0.000164;0;0;200;980
20889;5790;20891;-89.090027;1.9984829;-9.8200003E-4;0;0;200;980
20890;14407;20892;-92.240005;2.9071081;-0.001605;0;0;200;980
20891;8397;20893;-98.470558;3.1241779;-1.6129999E-3;0;0;200;980
20892;9979;20894;-77.030251;2.5167651;-0.00127;0;0;200;980
20893;14168;20895;-83.402153;2.921741;-0.001638;0;0;200;980
20894;13387;20896;-29.987204;1.107087;-6.2399998E-4;0;0;200;980
20895;17263;20897;-41.89336;1.430135;-8.2399999E-4;0;0;200;980
20896;17293;20898;23.144314;1.073899;-3.0499999E-4;0;0;200;980
20897;17579;20899;-31.133286;1.242048;-6.0000003E-4;0;0;200;980
20898;5973;20900;33.941593;0.65376401;-3.0000001E-4;0;0;200;980
20899;6375;20901;25.94203;0.59948301;-3.0300001E-4;0;0;200;980
20900;9976;20902;-12321;-12321;-12321;-12321;-12321;-12321;-12321
20901;15026;20903;-39.019043;1.051433;-0.000375;0;0;200;980
20902;16380;20904;-31.546808;1.120787;-5.5200001E-4;0;0;200;980
20903;17415;20905;2.9684191;1.7110291;-7.8499998E-4;0;0;200;980
20904;17398;20906;-41.580894;1.981426;-0.001119;0;0;200;980
20905;16764;20907;-42.325706;2.0381739;-1.0019999E-3;0;0;200;980
20906;12344;20908;-20.360325;1.134686;-5.5699999E-4;0;0;200;980
20907;6133;20909;19.527924;0.64804697;-2.8000001E-4;0;0;200;980
20908;17118;20910;-44.232307;1.678498;-8.1699999E-4;0;0;200;980
20909;17285;20911;36.643574;0.55924398;4.9999999E-6;0;0;200;980
