ID;PROP_ID;COMP_ID;RackettLiquidDensityA;RackettLiquidDensityB;RackettLiquidDensityN;RackettLiquidDensityTc;RackettLiquidDensityTmin;RackettLiquidDensityTmax
30171;10957;30174;370.72067;0.238462;0.27671701;811;485;811
30172;6963;30175;380.15512;0.22880299;0.28055501;760;402.42001;760
30173;18330;30176;372.01205;0.24056099;0.27504599;864;110;864
30174;12375;30177;347.95999;0.232877;0.27062899;781;376.42001;781
30175;18328;30178;356.61871;0.24306799;0.27605101;844;110;844
30176;12225;30179;268.46951;0.25527701;0.27978399;710;110;710
30177;12203;30180;262.44446;0.25115001;0.281506;626.5;110;626.5
30178;9179;30181;287.25525;0.25329599;0.28477001;609;100;609
30179;9178;30182;280.95615;0.246547;0.28631401;625;100;625
30180;6380;30183;280.86771;0.24547701;0.28632501;630;100;630
30181;8410;30184;293.72971;0.227364;0.27300599;834;346.60001;834
30182;11107;30185;297.87271;0.22823501;0.27314699;816;311.10001;816
30183;13873;30186;261.26141;0.234899;0.262945;718;110;718
30184;6107;30187;265.62317;0.241901;0.27489001;694;110;694
30185;10357;30188;278.22559;0.245598;0.27726701;650;213.53999;650
30186;8789;30189;273.7897;0.25370699;0.281201;645;228.69;645
30187;9834;30190;280.15964;0.261547;0.286071;516.70001;168.67999;516.70001
30188;11082;30191;304.23212;0.23496599;0.27480099;779;287.89999;779
30189;14445;30192;297.98572;0.23503;0.27680999;787;319.89999;787
30190;11081;30193;306.21707;0.236701;0.27671099;766;270.29999;766
30191;13477;30194;329.90033;0.23705301;0.27997899;876;288.89999;876
30192;16037;30195;387.21939;0.233871;0.27086201;696;110;696
30193;11361;30196;256.96786;0.244596;0.27066201;731;110;731
30194;13943;30197;299.82346;0.230721;0.27307701;804;297.39999;804
30195;12374;30198;349.61893;0.237149;0.27330601;782;360.45999;782
30196;8094;30199;293.64413;0.228139;0.27478999;811;335.89999;811
30197;11111;30200;302.1709;0.232704;0.27478999;792;296.10001;792
30198;13476;30201;324.013;0.23192801;0.280366;916;305.20001;916
30199;15234;30202;289.4801;0.21966401;0.268291;877;356.20001;877
30200;12337;30203;302.88608;0.217843;0.26682201;1036;336.60001;1036
30201;15233;30204;290.18417;0.221384;0.269162;866;354.89999;866
30202;11109;30205;293.26047;0.222956;0.26795501;850;324.29999;850
30203;15238;30206;308.54709;0.22249;0.27060699;1017;330.60001;1017
30204;6769;30207;475.32907;0.245537;0.27517301;878;344.60001;878
30205;5860;30208;475.32907;0.245537;0.27517301;878;348.60001;878
30206;7758;30209;292.44516;0.224787;0.27339101;845;348.79999;845
30207;11108;30210;295.96362;0.226198;0.271642;827;311.70001;827
30208;62;30211;304.89999;0.2511;0.28569999;649;284.14999;649
30209;1518;30212;260.47;0.27557999;0.28571001;596.83002;210.14;596.83002
30210;1519;30213;259.79999;0.26859999;0.28571001;586.92999;242.56;586.92999
30211;1511;30214;256.51001;0.26128;0.28571001;592.90997;225.14;592.90997
30212;406;30215;455.32001;0.26997;0.28571001;586.28003;177.38;586.28003
30213;700;30216;422.78;0.27192;0.28571001;580.26001;188.64999;580.26001
30214;32;30217;507.89999;0.28200001;0.28571001;540.20001;153.75999;540.20001
30215;726;30218;414.54999;0.2482;0.28571001;569.33002;189.69;569.33002
30216;715;30219;421.59;0.26705;0.28571001;573.71002;174.69;573.71002
30217;413;30220;444.82001;0.26424;0.28571001;569.83002;178.42;569.83002
30218;1325;30221;391.63;0.2631;0.28571001;594.59003;186.67999;594.59003
30219;720;30222;428.85999;0.27311999;0.28571001;575.70001;206.07001;575.70001
30220;1326;30223;390.70999;0.26063001;0.28571001;595.91998;180.95;595.91998
30221;707;30224;415.70999;0.25474;0.28571001;581.59003;186.37;581.59003
30222;708;30225;415.70999;0.25474;0.28571001;581.59003;186.37;581.59003
30223;1318;30226;386.14001;0.26157999;0.28571001;608.17999;201.67999;608.17999
30224;960;30227;406.59;0.26407;0.28571001;587.15997;146.95;587.15997
30225;2696;30228;356.39999;0.31331;0.28571001;742.22998;342.75;742.22998
30226;11399;30229;-12321;-12321;-12321;-12321;-12321;-12321
30227;10296;30230;424.21085;0.244066;0.268354;851;324.32999;851
30228;11509;30231;499.92252;0.235534;0.28489801;801;110;801
30229;5356;30232;390.60907;0.234851;0.285714;648;233.14999;647.98999
30230;433;30233;319.41;0.27061999;0.28571001;524.60999;147.5;524.60999
30231;731;30234;308.04001;0.26515001;0.28571001;556.39001;158.77;556.39001
30232;757;30235;301.82001;0.25538999;0.28571001;550.96002;159.81;550.96002
30233;746;30236;307.13;0.26199999;0.28571001;561.71997;144.81;561.71997
30234;440;30237;311.70999;0.25545999;0.28571001;536.46997;148.53999;536.46997
30235;1342;30238;295.28;0.26337001;0.28571001;571.28003;156.8;571.28003
30236;751;30239;312.64001;0.27403;0.28571001;546.40002;176.19;546.40002
30237;1343;30240;294.56;0.26385999;0.28571001;582.19;189.22;582.19
30238;738;30241;302.69;0.25909999;0.28571001;553.09998;156.49001;553.09998
30239;739;30242;302.69;0.25909999;0.28571001;553.09998;156.49001;553.09998
30240;1335;30243;291.01001;0.26309001;0.28571001;583.09998;171.8;583.09998
30241;968;30244;297.34;0.25727001;0.28571001;557.78998;168.14999;557.78998
30242;41;30245;324.82999;0.25957;0.28569999;514.15002;138.64999;514.15002
30243;7503;30246;402.01547;0.245792;0.277372;793;448.14001;793
30244;10438;30247;351.63126;0.247079;0.28672701;841;342.92001;841
30245;2887;30248;260.12;0.25115001;0.28571001;632.84998;268.14999;632.84998
30246;2767;30249;247.99001;0.26159;0.28571001;643.32001;308.06;643.32001
30247;3348;30250;248.39999;0.26205999;0.28571001;677.19;330.60001;677.19
30248;4449;30251;202.78072;0.20900901;0.285714;759.66632;298.14999;759.66632
30249;2351;30252;313.62;0.25446001;0.28571001;737.59003;123.07;737.59003
30250;2545;30253;261.10001;0.24954;0.28571001;636.71002;236.50999;636.71002
