ID;PROP_ID;COMP_ID;EnthalpyOfVapourizationA;EnthalpyOfVapourizationB;EnthalpyOfVapourizationN;EnthalpyOfVapourizationTmin;EnthalpyOfVapourizationTmax
37188;12202;37191;77793.125;673;0.428846;200;673
37189;18378;37192;86099.258;739;0.40687701;200;739
37190;18376;37193;82967.492;683;0.43394899;200;683
37191;18380;37194;75890.086;667;0.397632;200;667
37192;12910;37195;76258.617;729;0.42184299;200;729
37193;18050;37196;-12321;-12321;-12321;-12321;-12321
37194;18362;37197;81238.805;691;0.41141999;200;691
37195;18609;37198;73166.063;691;0.42350301;200;691
37196;14833;37199;95613.727;697;0.419898;200;697
37197;392;37200;71825;647;0.331;288.64999;647
37198;84;37201;52053;568;0.391;200.55;568
37199;2768;37202;64211;702.25;0.43399999;230.2;702.25
37200;1108;37203;85030;691;0.384;249;691
37201;2303;37204;58821;664.59998;0.38;211.47;664.59998
37202;14345;37205;-12321;-12321;-12321;-12321;-12321
37203;3883;37206;83470;757;0.45100001;268.14999;757
37204;7229;37207;156306.56;801;0.488078;456.45001;801
37205;8284;37208;61570.203;948;0.301323;344.73001;948
37206;8801;37209;53699.621;620;0.381084;223.86;620
37207;12579;37210;50826.957;614;0.37143001;200;614
37208;9567;37211;54831.586;651;0.374268;200;651
37209;10120;37212;56322.816;662;0.37370601;236.44;662
37210;17719;37213;58979.277;682;0.38322201;200;682
37211;11559;37214;59050.078;681;0.38481;200;681
37212;11184;37215;-12321;-12321;-12321;-12321;-12321
37213;10566;37216;97824.969;753;0.426559;365.60001;753
37214;18076;37217;76340.539;766;0.42381099;200;766
37215;9511;37218;76069.422;674;0.42647099;200;674
37216;18046;37219;58329.52;581;0.41405901;200;581
37217;13859;37220;-12321;-12321;-12321;-12321;-12321
37218;10963;37221;57669.516;626;0.38916099;200;626
37219;6993;37222;117118.02;796;0.55502898;284.39999;796
37220;6863;37223;62346.438;654;0.38575;200;654
37221;5918;37224;-12321;-12321;-12321;-12321;-12321
37222;10184;37225;58135.906;589;0.50757098;298.09439;589
37223;7624;37226;57577.68;584;0.40878901;200;584
37224;7861;37227;63533.305;680;0.407583;285.19;680
37225;6691;37228;-12321;-12321;-12321;-12321;-12321
37226;9120;37229;-12321;-12321;-12321;-12321;-12321
37227;9526;37230;51346.523;598;0.381989;200;598
37228;11448;37231;76445.555;663;0.43589699;200;663
37229;11449;37232;76445.555;663;0.43589699;200;663
37230;11450;37233;61518.086;620;0.39664799;200;620
37231;10016;37234;61567.648;626;0.40360099;200;626
37232;13829;37235;61851.285;629;0.38456699;200;629
37233;10020;37236;59958.621;643;0.48349199;200;643
37234;9500;37237;65480.813;589;0.419994;200;589
37235;8150;37238;73886.539;781;0.368251;312.5;781
37236;12054;37239;81805.906;617;0.41387099;200;617
37237;12044;37240;81805.906;617;0.41387099;200;617
37238;8412;37241;48616.52;584;0.38379201;298.15436;584
37239;8324;37242;46038.871;487;0.39008501;200;487
37240;7781;37243;40401.004;413;0.39257801;200;413
37241;10004;37244;48529.18;600;0.37589499;200;600
37242;17165;37245;57411.496;600;0.393343;200;600
37243;9312;37246;45083.59;562;0.364941;200;562
37244;17492;37247;82765.773;877;0.41863701;200;877
37245;10304;37248;66151.156;726;0.37722501;200;726
37246;8515;37249;94372.508;689;0.414399;315.10001;689
37247;14356;37250;89808.992;700;0.44218901;309.89999;700
37248;8516;37251;70615.859;744;0.39082399;296.29999;744
37249;14384;37252;72078.297;747;0.40190399;200;747
37250;14388;37253;72078.297;747;0.40190399;200;747
37251;16191;37254;59874.227;726;0.369046;200;726
37252;6589;37255;111612.69;795;0.42584601;318.60001;795
37253;8769;37256;90582.328;714;0.39381701;351.32999;714
37254;7988;37257;76010.266;787;0.38553101;335.53;787
37255;8513;37258;79327.992;716;0.385342;200;716
37256;8495;37259;73207.813;716;0.37860799;200;716
37257;8378;37260;72822.914;716;0.378968;200;716
37258;13326;37261;82027.93;809;0.422968;200;809
37259;12235;37262;82027.93;809;0.422968;200;809
37260;8379;37263;65402.98;778;0.37606999;200;778
37261;6596;37264;93891.781;891;0.33513299;331.60001;891
37262;6588;37265;83213.188;784;0.45657501;336.60001;784
37263;6593;37266;88014.039;844;0.346894;320.60001;844
37264;9758;37267;86706.484;805;0.42108399;200;805
37265;11189;37268;50443.273;637;0.369084;200;637
37266;11190;37269;50443.273;637;0.369084;200;637
37267;14087;37270;60739.016;678;0.369315;200;678
37268;6964;37271;74462.133;658;0.389319;280.29901;658
37269;6965;37272;59726.922;686;0.37397301;298.15436;686
37270;7649;37273;49525.438;599;0.39209601;217.55901;599
37271;9223;37274;70486.391;664;0.401687;200;664
37272;10005;37275;86701.391;714;0.37741199;200;714
37273;10048;37276;79859.258;690;0.409908;200;690
37274;6592;37277;-12321;-12321;-12321;-12321;-12321
37275;10388;37278;87180.758;721;0.383167;200;721
37276;15365;37279;-12321;-12321;-12321;-12321;-12321
37277;12382;37280;61197.512;645;0.39250699;200;645
37278;13878;37281;60232.457;690;0.398206;200;690
37279;14133;37282;72941.203;669;0.38097599;200;669
37280;10788;37283;-12321;-12321;-12321;-12321;-12321
37281;13879;37284;70451.773;669;0.41072899;200;669
37282;13488;37285;85824.289;779;0.380914;200;779
37283;9487;37286;81100.992;776;0.374836;273.72;776
37284;13515;37287;89456.602;782;0.38044399;200;782
37285;14118;37288;115083.6;911;0.40185401;244.27;911
37286;13633;37289;117394.32;899;0.38505399;200;899
37287;13642;37290;120704.81;919;0.38062999;200;919
37288;19498;37291;101634.45;830;0.385153;200;830
37289;18693;37292;-12321;-12321;-12321;-12321;-12321
37290;6641;37293;-12321;-12321;-12321;-12321;-12321
37291;18711;37294;-12321;-12321;-12321;-12321;-12321
37292;19728;37295;47314.754;628;0.359685;200;628
37293;19729;37296;47314.754;628;0.359685;200;628
37294;13851;37297;108346.13;761;0.51424599;418.10001;761
37295;14236;37298;58864.645;628;0.37183401;200;628
37296;8823;37299;85629.922;733;0.365843;246.5;733
37297;19161;37300;44411.031;638;0.36874601;200;638
37298;8726;37301;56145.773;616;0.39272401;200;616
37299;11002;37302;51348.004;613;0.383185;200;613
37300;10375;37303;74057.352;685;0.37684301;200;685
37301;10466;37304;56824.039;629;0.37928501;200;629
37302;13602;37305;-12321;-12321;-12321;-12321;-12321
37303;12867;37306;66514.961;726;0.427856;291.60001;726
37304;13614;37307;149112.11;908;0.58286297;200;908
37305;12897;37308;-12321;-12321;-12321;-12321;-12321
37306;13462;37309;67177.781;655;0.418037;200;655
37307;13586;37310;-12321;-12321;-12321;-12321;-12321
37308;13893;37311;57516.453;680;0.39717501;213;680
