ED#Точка;ED#Alt;TypeDV#Тип;ST#Описание;LE,Objects#Модель;LS,Type#ТипМодели;Points#ACS;ED#Формула;ST#EngUnit
30XZSO300;PLC=433/FLD=804(MCC);DI;Задвижка открыта (OPENED);XV-300;M;Открыт;;
30YT006;PLC=11109/FLD=160(FLD);AI;У насоса C-3001S (в осях 8/А);;;;#=83;
30XY583B;PLC=574/FLD=192(FLD);DO;Внутри здания(в осях 1/В);;;;;
30YT010;PLC=11125/FLD=176(FLD);AI;У насосов P-3024A/S (в осях 8/В);;;;#=83;
FGS_301_1.30XL500_2;PLC=21/FLD=600(FSC);DO;Fl.GD act. in HEATER-GDAP-C,F,G lamp;;;;;
FGS_301_1.30XL502_1;PLC=24/FLD=604(FSC);DO;Fl.GD act. in Heat exch -GDAP-C,F,G lamp;;;;;
FGS_301_1.30XL503_2;PLC=27/FLD=606(FSC);DO;Fl.GD act. in Open PH-GDAP-C,F,G lamp;;;;;
FGS_301_1.30XL505_2;PLC=31/FLD=610(FSC);DO;T.GD act. in Drain drum-GDAP-C,F,G lamp;;;;;
30HS177C;PLC=495/FLD=910(F01);DI;"AB3002...AB3004-""Включить"" (ON)";;;;;
30HS357;PLC=456/FLD=202(FLD);DI;Проверка 30XA584B/A;;;;;
30XY536B;PLC=584/FLD=530(FLD);DO;Overpass, near 7-С19;;;;;
FGS_301_1.30XL507_2;PLC=35/FLD=614(FSC);DO;T.GD act. in Compr. -GDAP-C,F,G lamp;;;;;
FGS_301_1.30HS229A_ENB;PLC=5/FLD=305(FSC);DI;GAS MOS 3000 ENABLE;;;;;
FGS_301_1.30XL528_2;PLC=52/FLD=602(FSC);DO;T.GD act. in 30GT528;;;;;
30HS219;PLC=472/FLD=560(FLD);DI;Checking 30XA557,30XA558, 30XA540;;;;;
30XY575A;PLC=542/FLD=163(FLD);DO;Внутри здания(в осях 1/Б);;;;;
30XY580B;PLC=571/FLD=190(FLD);DO;Внутри здания(в осях 10/А);;;;;
FGS_301_1.30XA1003_2;PLC=12/FLD=162(FSC);DO;FD act. in Compr. FDAP-C,F lamp;;;;;
00XS301G01P02;PLC=418/FLD=22(CAB);DI;IB30-1 COMM. ALARM FGS-01 POWER SUPPLY 02;;;;;
30GT528;PLC=11317/FLD=354(FLD);AI;At the installation border, close to V-3024;GI528;M;Показания;#ScaleN(0,100,361,3439);
30HS356;PLC=455/FLD=192(FLD);DI;Проверка 30XA582B/A, 30XA583B/A;;;;;
30XS190C;PLC=508/FLD=916(MCC);DI;"AВ3004 ""Готов к пуску"" (HEALTHY)";;;;#=1;
FGS_301_1.30XL500_1;PLC=20/FLD=600(FSC);DO;Fl.GD act. in HEATER-GDAP-C,F,G lamp;;;;;
30HS1006;PLC=11045/FLD=120(FLD);AI;У входа в здание(в осях 8/В);;;;#=525;
30XY555B;PLC=598/FLD=556(FLD);DO;At the entrance to closed pumphouse;;;;;
30XY532B;PLC=580/FLD=506(FLD);DO;In closed pumphouse;;;;;
30XSO059;PLC=514/FLD=706(MCC);DO;Oткрыть при пожаре (OPEN AT FIRE);XV-059;M;Открыть;;
30GT520;PLC=11293/FLD=340(FLD);AI;Between Р-3024А/S;GI520;M;Показания;#ScaleN(0,100,361,3439);
30XY541B;PLC=589/FLD=522(FLD);DO;Construction 05, in axes 3-4/А-В;;;;;
30XZSO059;PLC=437/FLD=700(MCC);DI;Задвижка открыта (OPENED);XV-059;M;Открыт;;
30XY552A;PLC=627/FLD=552(FLD);DO;Northern entrance to compressor room;;;;;
30HS176B;PLC=487/FLD=918(F01);DI;Stop B1,П1,П1а/close о-з valves - т.06 (Stop/Close at Fire);;;;#=1;
30XY577B;PLC=568/FLD=164(FLD);DO;Снаружи здания(в осях 9/В);;;;;
FGS_301_1.30XZLO104.OPFL;PLC=45/FLD=1008(FSC);DO;Задвижка 30XV104-открыта;30XV104_OP;RSU->HS;;#0;
30XS179C;PLC=505/FLD=914(MCC);DI;"AВ3003 ""Готов к пуску"" (HEALTHY)";;;;#=1;
30XSO300C;PLC=524/FLD=808(MCC);DI;SIGNAL READY FROM ELECTRIC;;;;#=1;
30XY532A;PLC=612/FLD=506(FLD);DO;In closed pumphouse;;;;;
FGS_301_1.30HS229;PLC=4/FLD=300(FSC);DI;Ack gas H&B (3000) (GDAP-C);;;;;
30XY544A;PLC=624/FLD=526(FLD);DO;Near V-3023;;;;;
30GT525;PLC=11381/FLD=348(FLD);AI;Near V-3002;GI525;M;Показания;#ScaleN(0,100,361,3439);
FGS_301_1.30HS242A_REL;PLC=9/FLD=1002(FSC);DI;SC MOS 3000 RELEASE;;;;;
30HS216;PLC=475/FLD=506(FLD);DI;Checking 30XA532,30XA533,30XA550;;;;;
FGS_301_1.30XZLO059.OPFL;PLC=36/FLD=706(FSC);DO;Задвижка 30XV059-открыта;30XV059_OP;RSU->HS;;#0;
FGS_301_1.30XL504_1;PLC=28/FLD=608(FSC);DO;Fl.GD act. in Drain drum-GDAP-C,F,G lamp;;;;;
FGS_301_1.30XL176;PLC=48/FLD=902(FSC);DO;AB3001 Running;;;;;
