ED#Точка;ED#Alt;TypeDV#Тип;ST#Описание;LE,Objects#Модель;LS,Type#ТипМодели;Points#ACS;ED#Формула;ST#EngUnit
30XY003;PLC=1530/FLD=251(MCC);DO;P-3001A STOP TECH FAIL;Р-3001A;M;Стоп2;#0;
30XY896;PLC=1558/FLD=1232(MCC);DO;C-3001A LO PM2S TRIP;;;;;
30XL002B_ON;PLC=8/FLD=246(FSC);DO;CLS XV002,093/ P-3001A/S;;;;;
30XY056;PLC=1546/FLD=359(MCC);DO;P-3013A-STOP TECH FAIL;Р-3013A;M;Стоп2;#0;
30ZSLL878;PLC=1421/FLD=1214(FLD);DI;C-3001A  LOCKING DEVICE;;;;#=1;
30HS941B;PLC=1364/FLD=1123(FLD);DI;PILOT FG SUPPLY CLOSE;30HS941B;HS->RSU;;;
30HS942A;PLC=1366/FLD=761(FLD);DI;MAIN FG SUPPLY OPEN;30HS942A;HS->RSU;;;
30XL706KB_ON_10;PLC=7/FLD=150(FSC);DO;ESD MOS ACT AREA 3000;;;;;
30PI919B;PLC=10136/FLD=533(FLD);AI;PILOT FUEL GAS;P952;M;Показания;;
30HS018BA;PLC=1321/FLD=543(PNL);DI;REMOTE SHUTDOWN;30HS018B;HS->RSU;;#0;
30VSHH876;PLC=1302/FLD=1201(BNS);DI;C-3001A VIBR CRANK HORIZ;;;;#=1;
30XZSO023;PLC=1410/FLD=257(MOV);DI;"XV-023 ""100% OPENED""";XV-023;M;Открыт;;
30TI866A;PLC=10401/FLD=410(FLD);AI;TEMP ISOLATION SHELL;;;;#=25;
30ZSLL977A;PLC=1757/FLD=1434(FLD);DI;C-3001S  FLYWHEEL  COVER;;;;#=1;
30TI813A;PLC=10412/FLD=1323(FLD);AI;P-3001S PUMP J. BEARING;;;;;
30XY897;PLC=1559/FLD=1234(MCC);DO;C-3001A CYL.OIL PM2 TRIP;;;;;
30LI016;PLC=10090/FLD=282(FLD);AI;V-3003 NAPHTA/ACID WATER;V-3003;M;Уровень_воды;#ScaleN(0,70,0,105.3);
30LS009;PLC=10457/FLD=268(FLD);AI;SUCT. P-3004A;T-3001;M;L_20;#ScaleN(100,122,4,20);
30HY010;PLC=1456/FLD=436(FLD);DO;HP H20 STEAM COIL1 H3001;HV-010;M;Соленоид;#0;
30XL704KB_ON_10;PLC=3/FLD=182(FSC);DO;ESD MOS ACT AREA C-3001A;;;;;
30HSXV070;PLC=1799/FLD=430(FLD);DI;30XV070 BUTTON FEED;XV-070_HS;HS->RSU;;#0;
30PI917B;PLC=10134/FLD=508(FLD);AI;MAIN FUEL GAS;P916;M;Показания;;
30FI019;PLC=10078/FLD=513(FLD);AI;RAW STUFF TO COIL3 H3001;F019;M;Показания;;
30HSXV015;PLC=1796/FLD=436(FLD);DI;30XV015 BUTTON FEED;XV-015_HS;HS->RSU;;#0;
30LI028;PLC=10094/FLD=331(FLD);AI;STABLE NAPHTA T-3003;T-3003;M;L_13;#ScaleN(0,20,0,105.3);
30AY950C;PLC=1444/FLD=1164(FLD);DO;FLUE GAS;;;;;
30HY008;PLC=1454/FLD=436(FLD);DO;HP H20 STEAM COIL3 H3001;HV-008;M;Соленоид;#0;
30LSLL983A;PLC=10452/FLD=1420(FLD);AI;C-3001S LEV OIL RES CYL;C-3001S-V7;M;Уровень;;
30HS048A;PLC=1376/FLD=1428(LCP);DI;C-3001S EMERGENCY STOP;30HS048A;HS->RSU;;#0;
30HS030AA;PLC=1328/FLD=440(FLD);DI;CLS XV030-096/ P-3005A/S;30HS030A;HS->RSU;;#0;
30HS120AB;PLC=1342/FLD=233(FLD);DI;SD AT FIRE - T.03 PUMPH.;30HS120A;HS->RSU;;#0;
30XL703KB_ON_10;PLC=1/FLD=170(FSC);DO;ESD MOS ACT AREA H-3001;;;;;
30XY881;PLC=1557/FLD=1234(MCC);DO;CM-3001A TRIP;;;;;
30XL126_ON;PLC=24/FLD=237(FSC);DO;SD AT FIRE P-3026 - T.06;;;;;
30HS125AA;PLC=1353/FLD=242(FLD);DI;STOP AT FIRE-T.06-PUMPH.;30HS125A;HS->RSU;;#0;
30ZSLL877A;PLC=1755/FLD=1214(FLD);DI;C-3001A  FLYWHEEL  COVER;;;;#=1;
30HS002AA;PLC=1315/FLD=245(FLD);DI;CLS XV002-093/ P-3001A/S;30HS002A;HS->RSU;;#0;
30XZSO002;PLC=1407/FLD=248(MOV);DI;"XV-002 ""100% OPENED""";XV-002;M;Открыт;;
30XY049;PLC=1544/FLD=329(MCC);DO;P-3012A-STOP-TECHN FAIL;Р-3012A;M;Стоп2;#0;
00XS301E01P06;PLC=1793/FLD=18(CAB);DI;IB301 ESD-01 ALARM PS 06;;;;;
30XA947A;PLC=1466/FLD=1160(LCP);DO;HEATER COMMON SHUT-DOWN;30XA947A;RSU->HS;;;
30TI857A;PLC=10196/FLD=354(FLD);AI;P-3013 S  LINE BEARING;Р-3013S;M;Температура_1;;
30PI783B;PLC=10125/FLD=1206(FLD);AI;C-3001A PRES OIL CASE;P783A;M;Показания;;
30FI018;PLC=10077/FLD=511(FLD);AI;RAW STUFF TO COIL2 H3001;F018;M;Показания;;
30XY088;PLC=1506/FLD=262(FLD);DO;BOД. ПAP CД B T-3001;XV-088;M;Соленоид;#0;
30FI790A2;PLC=10444/FLD=1216(FLD);AI;C3001 FLOW COOLING WATER;F790;M;Показания;;
30XY057;PLC=1547/FLD=359(MCC);DO;P-3013S - STOP TECH FAIL;Р-3013S;M;Стоп2;#0;
30FI906;PLC=35/FLD=515(FLD);AI;COMBUSTION AIR;F905;M;Показания;;
30XSC002;PLC=0/FLD=248(MOV);DO;"XV-002 ""CLOSE""";XV-002;M;Закрыть;;
30XY029;PLC=1536/FLD=269(MCC);DO;P-3004S-STOP-TECH FAIL;Р-3004S;M;Стоп2;#0;
30TI156C;PLC=10146/FLD=522(FLD);AI;TAR OIL H-3001 (2 COIL);T028B;M;Показания;;
30BSLL903B;PLC=10075/FLD=550(FLD);AI;BURNER 8;Н-3001;M;Интенсивность_пламени_4;;
30XY975B;PLC=1522/FLD=1468(FLD);DO;C-3001S  VALVE UNLOADERS;;;;;
30TI845A2;PLC=10428/FLD=452(FLD);AI;P-3005 S  LINE BEARING;;;;;
30XY910;PLC=1283/FLD=1132(FLD);DO;PILOT FUEL GAS;XV-910;M;Соленоид;#0;
30TI802A;PLC=10403/FLD=1301(FLD);AI;'P-3001A PUMP J. BEARING;;;;;
30FI777B2;PLC=10448/FLD=1187(FLD);AI;C-3001A COOL H20 CYL 2;F777B;M;Показания;;
30TI884D2;PLC=10425/FLD=1430(FLD);AI;C-3001S  OIL RESER CRANK;МБ_C-3001S;M;Температура;;
30HS704_REL;PLC=3/FLD=39(FSC);DI;ESD MOS REL AREA C-3001A;;;;;
30XZSC030;PLC=1415/FLD=446(MOV);DI;"XV-030 ""100% CLOSED""";XV-030;M;Закрыт;;
30XL908A;PLC=1484/FLD=1180(LCP);DO;2ND BLOCK VALVE OPEN;30XL908A;RSU->HS;;;
30XY907;PLC=1263/FLD=1126(FLD);DO;FUEL GAS;XV-907;M;Соленоид;#0;
00XS301E01ELD;PLC=1308/FLD=18(CAB);DI;IB301 ESD-01 ALARM ELD;;;;;
30HY009;PLC=1455/FLD=436(FLD);DO;HP H20 STEAM COIL2 H3001;HV-009;M;Соленоид;#0;
30HS048_2;PLC=1378/FLD=240(PNL);DI;C-3001S EMERGENCY STOP;30HS048;HS->RSU;;#0;
